Idx,N
707,10
549,36
587,39
853,65
520,67
384,71
583,78
575,80
351,82
131,87
240,87
828,90
70,91
614,92
332,95
123,97
141,102
81,104
304,109
22,114
258,114
550,116
458,117
449,126
536,127
579,130
501,132
616,135
102,137
704,138
740,143
548,144
638,144
490,145
370,153
13,154
362,155
604,155
203,156
606,157
410,161
8,162
768,162
315,163
28,164
255,164
429,169
527,172
168,174
72,176
730,177
906,178
114,179
487,180
852,181
409,185
204,187
465,192
252,193
568,194
803,197
851,197
683,201
714,202
716,203
281,205
21,210
787,210
234,211
47,213
515,213
376,215
563,215
529,218
293,219
355,220
534,220
719,220
467,221
397,225
157,226
641,229
896,229
452,231
779,231
138,232
569,234
541,235
354,236
643,238
39,242
473,243
455,247
676,252
298,255
887,255
36,257
815,266
192,269
843,269
837,274
485,277
60,279
418,284
507,285
287,288
146,289
603,293
634,294
785,297
67,298
53,300
150,301
302,301
310,301
840,301
556,302
450,303
711,303
884,303
845,304
584,307
248,311
128,313
211,316
755,316
235,318
172,319
65,320
886,320
214,326
340,326
746,328
115,329
498,329
394,330
152,333
444,337
558,338
313,339
481,339
615,341
307,342
876,343
237,344
483,344
547,344
800,344
91,346
176,346
222,346
879,348
416,352
572,353
151,355
175,357
132,360
621,360
311,362
626,362
824,363
838,363
210,365
278,365
457,366
414,367
881,369
782,371
866,371
326,372
401,372
197,373
528,373
241,375
495,376
106,379
514,379
169,381
808,381
663,383
593,387
788,390
317,394
421,395
265,399
133,402
463,403
904,403
545,406
867,407
441,410
762,412
518,419
565,420
345,432
98,433
435,434
700,434
726,435
327,437
794,439
163,441
86,445
731,445
271,446
15,448
87,451
899,451
359,453
393,454
447,457
718,458
677,461
2,462
850,463
140,465
250,466
412,466
387,467
783,470
254,473
308,473
201,474
37,475
819,479
670,481
180,484
321,486
689,487
386,488
739,488
650,489
836,490
466,491
856,491
874,491
350,493
445,493
347,494
631,498
346,499
902,499
599,500
854,500
341,503
74,504
505,505
814,505
153,507
625,507
678,507
334,508
107,510
202,513
261,513
540,515
862,515
600,516
303,519
871,522
286,526
427,526
727,530
230,531
702,531
834,533
221,535
667,535
324,536
637,536
212,537
793,537
419,540
810,540
200,544
260,545
771,547
807,548
395,549
503,550
535,553
424,555
570,555
417,562
905,562
54,566
170,566
848,566
5,567
329,567
816,569
178,570
233,572
374,572
513,577
521,578
679,578
371,582
645,591
213,592
33,593
582,596
391,601
95,602
232,603
629,603
870,605
35,609
139,609
279,609
813,610
267,614
753,614
358,615
554,615
236,616
9,617
863,620
576,623
288,627
703,627
685,630
413,632
736,632
415,634
89,635
697,637
610,638
242,639
75,642
751,643
497,644
701,644
264,648
756,650
812,657
24,659
282,660
526,660
669,661
646,663
439,666
25,669
121,669
27,671
219,671
607,673
453,674
23,675
188,675
55,679
162,679
231,679
652,679
830,679
655,681
589,683
773,685
319,686
420,689
636,689
3,692
305,692
493,692
50,693
375,693
277,695
500,695
124,697
243,698
285,698
62,699
543,699
173,702
647,702
51,703
179,706
883,706
492,709
66,713
440,713
817,716
425,718
627,719
34,721
710,721
609,722
257,724
648,727
165,729
